filename,xTop,yTop
./images\subject1.png,438,32
./images\subject10.png,495,37
./images\subject15.png,417,35
./images\subject19.png,395,43
./images\subject23.png,386,30
./images\subject24.png,425,47
./images\subject3.png,558,11
./images\subject31.png,442,46
./images\subject35.png,425,52
./images\subject38.png,406,41
./images\subject42.png,344,46
./images\subject44.png,403,63
./images\subject45.png,344,46
./images\subject57.png,358,0
./images\subject59.png,349,40
./images\subject6.png,369,63
./images\subject70.png,519,20
./images\subject8.png,365,42
