MEDIA_ID,MEDIA_NAME,CNT,TIME(2019/04/29 12:24:22.727),TIMETICK(f=3117958),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,
0,NewMedia,0,0.00000,830433273185,0.00000,0.00000,0.00000,0.00000,1,0,0.73392,0.47104,0,1.54464,0.22381,3,,0.32650,0.24895,17.19118,1.06398,0,0.66429,0.26075,15.37477,1.05598,0,7,0.00000,6,
0,NewMedia,23,0.37793,830434451558,0.79600,0.40083,0.09862,0.27930,2,1,0.75810,0.39947,1,1.54464,0.22381,0,,0.32564,0.24746,22.78575,1.01096,1,0.66238,0.25744,20.43868,1.01207,1,0,0.00000,7,
0,NewMedia,30,0.49288,830434809963,0.74697,0.46128,0.39424,0.09863,3,1,0.71447,0.64440,0,1.54464,0.23238,0,,0.32484,0.25005,18.43718,1.04763,0,0.66145,0.26141,16.76332,1.04037,0,8,0.00000,7,
0,NewMedia,74,1.21569,830437063671,0.75146,0.47446,0.80496,0.41073,4,1,0.75895,0.44797,1,1.04643,0.47429,0,,0.32398,0.24652,22.92784,1.02665,1,0.65990,0.26464,20.18242,1.01939,1,0,0.00000,8,
0,NewMedia,93,1.52783,830438036893,0.74399,0.39272,1.23242,0.29541,5,1,0.70648,0.51267,0,1.15536,0.33714,0,,0.32196,0.25039,20.55683,1.01096,0,0.65823,0.26681,18.87049,1.00371,0,9,0.00000,8,
0,NewMedia,141,2.31773,830440499769,0.65035,1.02212,2.08646,0.23127,6,1,0.58549,0.54447,1,0.55476,0.45905,0,,0.31906,0.24592,18.69666,1.01430,1,0.65345,0.26394,18.08386,1.01096,1,0,0.00000,9,
0,NewMedia,155,2.54665,830441213553,0.56211,0.33038,2.38206,0.16459,7,1,0.55689,0.33240,0,0.55774,0.39238,0,,0.31711,0.24420,22.86397,1.02665,0,0.65426,0.26084,20.58312,1.02332,0,10,0.00000,9,
0,NewMedia,206,3.38429,830443825266,0.56045,0.31783,2.80937,0.57492,8,1,0.69149,0.38646,1,0.49762,0.41429,0,,0.32292,0.24763,19.84987,1.03673,1,0.65929,0.26596,17.57872,1.02947,1,0,0.00000,10,
0,NewMedia,232,3.81146,830445157151,0.70785,0.41884,3.44992,0.36154,9,1,0.72248,0.45630,1,0.45476,0.42095,0,,0.32310,0.24932,21.38026,1.03598,1,0.65998,0.26814,18.40948,1.02798,1,0,0.00000,10,
0,NewMedia,284,4.66565,830447820501,0.74257,0.47197,3.82783,0.83782,10,1,0.77962,0.49284,1,0.29167,0.50000,0,,0.32538,0.24693,22.34207,0.99430,1,0.66257,0.26620,19.49060,0.99116,1,0,0.00000,10,
0,NewMedia,299,4.91218,830448589160,0.80222,1.72289,4.78064,0.13154,11,1,0.80796,1.86440,0,0.29167,0.50000,0,,0.33231,0.30124,15.28837,0.97480,1,0.65956,0.31852,13.88143,0.96406,1,0,0.00000,10,
0,NewMedia,328,5.38849,830450074261,0.67644,0.69863,5.17503,0.21345,12,1,0.57677,0.77592,1,0.29167,0.50000,0,,0.33671,0.31864,15.70218,0.87056,1,0.66127,0.33349,16.58896,0.85900,1,0,0.00000,10,
0,NewMedia,332,5.45426,830450279342,0.60575,0.78304,5.40502,0.04924,13,1,0.57542,0.81864,1,0.29167,0.50000,0,,0.33499,0.32213,15.32631,0.73795,1,0.65761,0.33667,16.88608,0.68209,1,0,0.00000,10,
0,NewMedia,336,5.51989,830450483972,0.46055,0.85705,5.47062,0.04927,14,1,0.82400,0.71407,1,0.29167,0.50000,0,,0.33328,0.32237,16.22598,0.81769,1,0.65540,0.33752,17.46161,0.79977,1,0,0.00000,10,
0,NewMedia,419,6.89146,830454760464,0.71758,0.37932,6.57151,0.31995,15,1,0.68629,0.36160,1,0.29167,0.50000,0,,0.32427,0.24579,21.97997,0.99861,1,0.65980,0.26442,19.92647,0.99528,1,0,0.00000,11,
0,NewMedia,432,7.09707,830455401563,0.50476,0.36474,6.90215,0.19492,16,1,0.37300,0.35784,1,0.29167,0.50000,0,,0.31338,0.24721,19.91557,1.04443,1,0.64943,0.26649,19.75697,1.04554,1,0,0.00000,11,
